================================================================================
PROFILING RESULTS - SORTED BY CUMULATIVE TIME
================================================================================

         19679018 function calls (17996283 primitive calls) in 784.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.007    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/memory.py:525(memory_allocated)
       35    0.000    0.000    0.007    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/memory.py:542(max_memory_allocated)
     9778    0.002    0.000    0.006    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:2767(children)
       13    0.000    0.000    0.006    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_model_construction.py:553(set_model_fields)
       13    0.001    0.000    0.006    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_fields.py:216(collect_model_fields)
      171    0.002    0.000    0.006    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_generate_schema.py:2185(_apply_annotations)
     9610    0.004    0.000    0.006    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/parameter.py:21(__instancecheck__)
    16966    0.006    0.000    0.006    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/mps/__init__.py:61(manual_seed)
       16    0.006    0.000    0.006    0.000 {method 'float' of 'torch._C.TensorBase' objects}
       48    0.002    0.000    0.005    0.000 /home/daniel/projects/spinlock/src/spinlock/dataset/generators.py:236(_generate_grf_batch)
       35    0.000    0.000    0.005    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/memory.py:563(memory_reserved)
      349    0.000    0.000    0.005    0.000 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:33(__init__)
      249    0.001    0.000    0.005    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/container.py:114(__init__)
     9195    0.003    0.000    0.005    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/parameter.py:233(__instancecheck__)
    16966    0.005    0.000    0.005    0.000 {built-in method torch._C._mps_is_in_bad_fork}
       88    0.002    0.000    0.005    0.000 /home/daniel/projects/spinlock/src/spinlock/operators/builder.py:90(map_parameters)
        8    0.000    0.000    0.005    0.001 /home/daniel/projects/spinlock/src/spinlock/dataset/generators.py:436(_generate_multiscale_grf)
      779    0.000    0.000    0.004    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:2656(parameters)
       34    0.000    0.000    0.004    0.000 /home/daniel/projects/spinlock/src/spinlock/operators/blocks.py:557(__init__)
      779    0.000    0.000    0.004    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:2681(named_parameters)
        5    0.004    0.001    0.004    0.001 {method 'sum' of 'torch._C.TensorBase' objects}
     9778    0.003    0.000    0.004    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:2776(named_children)
      779    0.001    0.000    0.004    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/nn/modules/module.py:2636(_named_members)
      208    0.001    0.000    0.004    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/_utils.py:344(_get_device_index)
      156    0.000    0.000    0.004    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/tqdm/_monitor.py:47(get_instances)
    16966    0.004    0.000    0.004    0.000 {method 'reverse' of 'list' objects}
      106    0.000    0.000    0.004    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/torch/cuda/memory.py:332(memory_stats_as_nested_dict)
        8    0.003    0.000    0.003    0.000 {built-in method torch.randint}
  232/171    0.000    0.000    0.003    0.000 /home/daniel/.cache/pypoetry/virtualenvs/spinlock-JcmOkOp3-py3.13/lib/python3.13/site-packages/pydantic/_internal/_schema_generation_shared.py:82(__call__)
